20
airfield,religious-jewish,111,129,0.75,82,76,clothing-store,138,128,0.66,108,102,airport,95,88,0.72,70,40,heart,134,121,0.75,97,92,marker,125,110,0.83,77,71,hospital,102,88,0.76,70,56,circle,144,121,0.68,107,102,aquarium,155,111,0.71,108,101,water,146,98,0.86,86,84,post-JP,119,75,0.58,83,76,fire-station,164,99,0.79,105,95,religious-christian,127,71,0.71,87,80
airport,hospital,61,87,0.94,35,27,clothing-store,151,99,0.47,137,130,circle,152,95,0.49,134,130,aquarium,150,93,0.51,130,117,heart,153,89,0.54,129,124,fire-station,145,84,0.56,116,109,water,141,78,0.61,106,102,religious-jewish,155,84,0.54,126,120,marker,148,76,0.59,111,106,post-JP,135,45,0.81,68,61,religious-christian,142,41,0.99,72,71
aquarium,circle,87,183,0.95,47,43,religious-jewish,110,160,0.95,59,50,clothing-store,123,172,0.92,72,65,water,109,149,0.83,74,66,heart,123,159,0.95,64,56,marker,115,148,0.86,75,70,fire-station,128,146,0.91,77,67,hospital,112,124,0.54,99,85,religious-christian,163,86,0.51,137,136,post-JP,166,84,0.42,139,132
circle,fire-station,60,184,0.87,47,41,water,62,176,0.79,54,44,religious-jewish,71,185,0.91,45,37,heart,74,186,0.91,44,38,marker,69,173,0.82,55,46,clothing-store,85,191,0.97,45,36,hospital,92,137,0.52,92,84,post-JP,127,108,0.40,123,117,religious-christian,147,97,0.48,133,129
clothing-store,heart,56,199,0.88,37,26,religious-jewish,111,172,0.88,72,62,marker,117,157,0.79,87,78,fire-station,127,153,0.84,83,77,water,126,147,0.77,89,83,hospital,147,113,0.50,123,119,post-JP,150,99,0.38,137,132,religious-christian,156,100,0.47,144,140
fire-station,religious-jewish,105,153,0.95,58,46,water,106,141,0.92,63,56,heart,125,145,0.96,73,70,marker,143,122,0.95,78,75,hospital,132,101,0.60,96,87,post-JP,144,82,0.46,115,110,religious-christian,156,78,0.56,122,118
heart,religious-jewish,76,175,1.00,41,31,marker,87,158,0.90,58,50,water,106,148,0.88,70,68,hospital,109,122,0.57,94,87,post-JP,113,108,0.44,110,102,religious-christian,149,90,0.53,128,125
hospital,water,87,119,0.65,69,63,marker,92,113,0.63,75,69,religious-jewish,117,115,0.57,95,89,post-JP,86,81,0.77,56,40,religious-christian,116,64,0.93,68,67
marker,water,98,139,0.97,49,47,religious-christian,86,106,0.59,81,77,religious-jewish,122,138,0.90,73,68,post-JP,117,91,0.48,97,91
post-JP,religious-jewish,119,101,0.44,109,98,water,119,88,0.50,96,94,religious-christian,101,61,0.82,51,45
religious-christian,water,104,98,0.61,90,85,religious-jewish,159,81,0.53,129,125
religious-jewish,water,104,145,0.87,65,58
water,
